latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
46.87237,125.61481,301.14,1.09,1.04,2025-04-22,0149,T,45,6.1NRT,290.07,3.7,D
46.68619,126.10404,309.06,1.14,1.06,2025-04-22,0149,T,67,6.1NRT,288.4,8.87,D
46.67705,126.10076,305.17,1.14,1.06,2025-04-22,0149,T,30,6.1NRT,288.63,5.63,D
46.43928,127.09911,302.14,1.25,1.11,2025-04-22,0149,T,32,6.1NRT,286.99,4.95,D
46.7688,125.16541,300.98,1.07,1.03,2025-04-22,0149,T,34,6.1NRT,289.09,4.64,D
46.7463,125.07313,300.72,1.06,1.03,2025-04-22,0149,T,32,6.1NRT,287.54,4.48,D
46.62996,125.54615,302.51,1.09,1.04,2025-04-22,0149,T,51,6.1NRT,288.57,4.63,D
46.50911,126.04321,304.35,1.14,1.06,2025-04-22,0149,T,59,6.1NRT,289.66,6.57,D
46.50668,126.05737,301.81,1.14,1.06,2025-04-22,0149,T,49,6.1NRT,289.28,4.82,D
46.6752,124.81978,310.05,1.05,1.02,2025-04-22,0149,T,60,6.1NRT,289.55,7.99,D
46.65752,124.81384,306.17,1.05,1.02,2025-04-22,0149,T,48,6.1NRT,289.19,5.23,D
46.68866,124.56249,308.38,1.04,1.02,2025-04-22,0149,T,67,6.1NRT,291.1,6.88,D
46.67817,124.56594,307.09,1.04,1.02,2025-04-22,0149,T,64,6.1NRT,290.45,7.07,D
46.6163,124.77941,304.03,1.05,1.02,2025-04-22,0149,T,11,6.1NRT,289.33,4.41,D
46.52903,125.02866,310.31,1.06,1.03,2025-04-22,0149,T,61,6.1NRT,289.74,9.04,D
46.25891,126.29037,304.93,1.17,1.08,2025-04-22,0149,T,42,6.1NRT,288.71,5.77,D
46.42363,125.04308,301.02,1.07,1.03,2025-04-22,0149,T,34,6.1NRT,289.76,3.35,D
46.40929,124.9617,302.03,1.06,1.03,2025-04-22,0149,T,44,6.1NRT,289.9,4.33,D
46.34156,124.91888,303.05,1.06,1.03,2025-04-22,0149,T,41,6.1NRT,289.2,4.51,D
46.44772,124.13317,303.74,1.02,1.01,2025-04-22,0149,T,36,6.1NRT,290.65,2.74,D
46.30542,124.79554,300.87,1.06,1.03,2025-04-22,0149,T,42,6.1NRT,288.87,3.68,D
46.26829,124.9082,301.65,1.06,1.03,2025-04-22,0149,T,42,6.1NRT,288.57,3.98,D
46.0605,125.92669,301.35,1.14,1.07,2025-04-22,0149,T,45,6.1NRT,288.61,4.33,D
45.96249,126.31879,306.22,1.19,1.08,2025-04-22,0149,T,63,6.1NRT,288.87,8.66,D
45.83988,126.75986,302.11,1.24,1.11,2025-04-22,0149,T,13,6.1NRT,289.72,5.15,D
